 ,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Type,Days,Time,Cap,Avail,Instructor,Date (DD-MM),Location,Attribute
 ,60972,ART,251*,01,SK,3.0,Intermediate Printmaking ,LEC,MTWR,09:30 am- 12:20 pm,20,10,Jacob L  Semko (P),27-Jun18-Jul,MURRY 64,Audit Allowed with PermissionFine Arts Program TypeOn Campus Student FeesTuition - Category 8
 ,61091,ART,495,01,SK,0.0,BFA ExhibitionDepartmental Approval Required,LAB,,TBA,1,1,TBA,27-Jun13-Aug,TBA,Audit Allowed with PermissionFine Arts Program TypeNo Academic CreditOn Campus Student FeesNo Tuition Assessed
 ,60772,EART,303,01,SK,3.0,Methods in Elementary Visual Art ,LEC,MTWR,01:00 pm- 04:20 pm,25,-1,Monique R  Blom (P),27-Jun18-Jul,EDUC 1019,On Campus Student FeesTuition - Category 1
 ,61025,ARTH,308*,1,SK,3.0,Art of High Renaissance and Reformation Era 1500 to 1550 ,LEC,MTWR,09:30 am- 12:20 pm,30,20,Sandra D  Herron (P),27-Jun18-Jul,MURRY 299,Audit Allowed with PermissionFine Arts Program TypeOn Campus Student FeesTuition - Category 1
 ,60937,ASKI,101,02,SK,3.0,Field Studies in the Environment ,MM,MTWRFSU,08:30 am- 11:50 am,40,16,Melissa M  Arcand (P),27-Jun13-Aug,ARCH 124,On Campus Student FeesTuition - Category 13
 , , , , , , , ,MM,,TBA, , ,Melissa M  Arcand (P),27-Jun13-Aug,NA NO_ROOM, 
 ,60654,ASTR,102,03,SK,3.0,Introduction to Galaxies and Cosmology ,LEC,MTWRF,09:00 am- 11:20 am,100,51,Daryl G  Janzen (P),23-Jul13-Aug,ARTS 133,On Campus Student FeesScience Program TypeTuition - Category 8
 ,60619,BIOL,121,01,SK,3.0,The Diversity of Life ,LEC,MTWRF,08:30 am- 10:50 am,112,41,Manar A  Angrini (P),23-Jul13-Aug,ARTS 134,On Campus Student FeesScience Program TypeTuition - Category 8
 , , , , , , , ,LAB,MTWRF,01:30 pm- 04:20 pm, , ,Manar A  Angrini (P),23-Jul13-Aug,BIOL 204, 
 ,60925,BIOL,350,01,SK,3.0,Field CourseDepartmental Approval Required,FLD,MTWRFSU,08:30 am- 05:50 pm,20,11,Jeffrey E  Lane (P), Karen L  Wiebe ,19-Aug30-Aug,NA NO_ROOM,Field-based instructionUndergraduate researchOn Campus Student FeesScience Program TypeTuition - Category 8
 ,60877,CTST,200*,WS2,OFF,3.0,Introduction to Catholic Studies ,WEB,,TBA,40,22,Lesya M  Sabada (P),27-Jun18-Jul,TBA,Audit Allowed with PermissionHumanities Program TypeOff Campus Student FeesSt. Thomas More College ClassTuition - Category 1
 ,60029,CHEM,250*,02,SK,3.0,Introduction to Organic Chemistry ,LEC,MTWRF,08:30 am- 10:50 am,74,5,David A  Sanders (P),27-Jun18-Jul,PHYSIC 107,Uses Blackboard Web ToolsOn Campus Student FeesScience Program TypeTuition - Category 8
 , , , , , , , ,LAB,MTWRF,12:00 pm- 02:50 pm, , ,David A  Sanders (P),27-Jun18-Jul,THORV SG50, 
 ,60926,CLAS,103,W02,OFF,3.0,Medical Terminology ,WEB,,TBA,250,173,Kyle   McLeister (P),27-Jun13-Aug,NA NO_ROOM,Arts and Sci No Program TypeDistance Education UnitOff Campus Student FeesTuition - Category 1Class Is Offered On-Line Only
 ,61015,CLAS,225*,62,SK,3.0,Women in Antiquity ,LEC,MTWRF,11:00 am- 01:20 pm,30,13,A. F  DeVito (P),27-Jun18-Jul,STM 200,Audit Allowed with PermissionHumanities Program TypeOn Campus Student FeesSt. Thomas More College ClassTuition - Category 1
 ,60980,COMM,205*,02,SK,3.0,Introduction to Operations Management ,LEC,TR,07:00 pm- 09:50 pm,60,19,Mohsin N  Jat (P),27-Jun13-Aug,ESB 103,On Campus Student FeesTuition - Category 4
 ,60047,COMM,207*,02,SK,3.0,Business Statistics II ,LEC,MW,04:00 pm- 06:50 pm,60,11,Mustafa   Avci (P),27-Jun13-Aug,ESB 144,On Campus Student FeesTuition - Category 4
 ,60414,COMM,210*,02,SK,3.0,Introduction to Management Accounting ,LEC,TR,04:00 pm- 06:50 pm,60,20,Tom G  Porter (P),27-Jun13-Aug,ARTS 109,On Campus Student FeesTuition - Category 4
 ,61016,COMM,307*,02,SK,3.0,Management Information SystemsDepartmental Approval Required,LEC,TR,04:00 pm- 06:50 pm,50,28,Parminder   Kang (P),27-Jun13-Aug,ESB 112,On Campus Student FeesTuition - Category 4
 ,60051,COMM,323*,02,SK,3.0,Corporate Financial Reporting IIDepartmental Approval Required,LEC,MW,04:00 pm- 06:50 pm,60,7,Julie A  Tsui (P),27-Jun13-Aug,ESB 46,On Campus Student FeesTuition - Category 4
 ,60520,COMM,363*,02,SK,3.0,Intermediate Corporate FinanceDepartmental Approval Required,LEC,TR,04:00 pm- 06:50 pm,50,21,Amarjit   Gill (P),27-Jun13-Aug,ESB 46,On Campus Student FeesTuition - Category 4
 ,61078,CHEP,898,03,SK,3.0,Complex Survey Data AnalysisInstructors Signature Required,LEC,MTWR,09:00 am- 01:20 pm,8,0,Punam   Pahwa (P),12-Aug31-Aug,HLTH B407,A Multi-term CourseFee - Graduate Studies
 ,60861,CMPT,140,04A,SK,3.0,Introduction to Creative ComputingDeans Office Approval Required,LEC,MWF,09:00 am- 10:50 am,10,10,Jeffrey R  Long (P),27-Jun13-Aug,THORV 205A,On Campus Student FeesScience Program TypeTuition - Category 3
 ,60862,CMPT,140,04B,SK,3.0,Introduction to Creative Computing ,LEC,MWF,09:00 am- 10:50 am,40,20,Jeffrey R  Long (P),27-Jun13-Aug,THORV 205A,On Campus Student FeesScience Program TypeTuition - Category 3
 ,60930,CMPT,140,L02,SK,0.0,Introduction to Creative Computing ,LAB,MWF,11:30 am- 12:20 pm,25,9,TBA,27-JUN13-AUG,THORV S320,No Academic CreditOn Campus Student FeesScience Program TypeNo Tuition Assessed
 ,60931,CMPT,140,L04,SK,0.0,Introduction to Creative Computing ,LAB,MWF,12:30 pm- 01:20 pm,25,21,TBA,27-JUN13-AUG,THORV S320,No Academic CreditOn Campus Student FeesScience Program TypeNo Tuition Assessed
 ,60040,CMPT,215*,02,SK,3.0,Introduction to Computer Organization and Architecture ,LEC,TR,08:30 am- 11:20 am,80,32,Matthew K  Miller (P),27-Jun13-Aug,THORV 124,On Campus Student FeesScience Program TypeTuition - Category 3
 ,60875,CMPT,215,T02,SK,0.0,Introduction to Computer Organization and Architecture ,TUT,TR,12:00 pm- 01:20 pm,40,5,TBA,27-JUN13-AUG,THORV S311,No Academic CreditOn Campus Student FeesScience Program TypeNo Tuition Assessed
 ,60876,CMPT,215,T04,SK,0.0,Introduction to Computer Organization and Architecture ,TUT,TR,01:30 pm- 02:50 pm,40,27,TBA,27-JUN13-AUG,THORV S311,No Academic CreditOn Campus Student FeesScience Program TypeNo Tuition Assessed
 ,60042,CMPT,260*,02,SK,3.0,Mathematical Logic and Computing ,LEC,MWF,01:00 pm- 02:50 pm,68,32,Eric M  Neufeld (P),27-Jun13-Aug,THORV 124,On Campus Student FeesScience Program TypeTuition - Category 3
 , , , , , , , ,TUT,MWF,03:30 pm- 04:20 pm, , ,Eric M  Neufeld (P),27-Jun13-Aug,THORV 124, 
 ,60379,CMPT,280*,02,SK,3.0,Intermediate Data Structures and Algorithms ,LEC,MWF,08:30 am- 10:20 am,70,17,Jason J  Bernard (P),27-Jun13-Aug,THORV 124,On Campus Student FeesScience Program TypeTuition - Category 3
 , , , , , , , ,TUT,MWF,11:00 am- 11:50 am, , ,Jason J  Bernard (P),27-Jun13-Aug,THORV 124, 
 ,61122,CMPT,898,02,SK,3.0,Special Topics:  Human-Driven Software Engineering for Scientific ResearchDepartmental Approval Required,LEC,MR,01:30 pm- 04:45 pm,10,5,Banani   Roy (P),27-Jun13-Aug,THORV S342,Audit Allowed with PermissionOn Campus Student FeesFee - Graduate Studies
 ,60628,CORR,820,02,OFF,3.0,Law and Policy in Corrections ,SSI,,TBA,3,3,TBA,27-Jun13-Aug,TBA,Independent Studies ClassOff Campus Student FeesNo Tuition Assessed
 ,60629,CORR,830,02,OFF,4.0,Essential Elements of Forensic and Correctional Assessment ,SSI,,TBA,3,3,TBA,27-Jun13-Aug,TBA,Independent Studies ClassOff Campus Student FeesNo Tuition Assessed
 ,60630,CORR,840,02,OFF,3.0,Incorporating Effective Correctional Principles and Practices into Case Management ,SSI,,TBA,3,3,TBA,27-Jun13-Aug,TBA,Independent Studies ClassOff Campus Student FeesNo Tuition Assessed
 ,60626,CORR,860,01,OFF,3.0,Research and Evaluation of Effective Correctional Treatment Principles Practices and Interventions ,SSI,,TBA,3,3,TBA,27-Jun13-Aug,TBA,Independent Studies ClassOff Campus Student FeesNo Tuition Assessed
 ,60801,CREE,101,02,SK,6.0,Introductory Cree ,LEC,MTWRF,11:00 am- 01:20 pm,35,23,Julie A  Roy (P),27-Jun13-Aug,KIRK 144,Humanities Program TypeOn Campus Student FeesTuition - Category 1
 ,61065,ECUR,433,2,SK,3.0,Identity and Higher Learning nêhiyawêwin ,LEC,WRFSU,09:00 am- 04:20 pm,40,34,Kevin R  Lewis (P),07-Aug11-Aug,ARTS 105,On Campus Student FeesTuition - Category 3
 ,61098,ECUR,434,3,SK,3.0,Immersion Language Camp nêhiyawêwinDepartmental Approval Required,FLD,,09:00 am- 04:20 pm,4,-1,TBA,10-Jul14-Jul,TBA,On Campus Student FeesTuition - Category 3
 ,61071,ECUR,898,11,SK,3.0,Exploring the Spirit and Intent of Truth and ReconciliationDepartmental Approval Required,RDG,,TBA,1,-1,Debbie A  Pushor (P),27-Jun18-Jul,NA NO_ROOM,Audit Not AllowedOn Campus Student FeesFee - Graduate Studies
 ,61072,ECUR,898,12,SK,3.0,Reclaiming Indigenous Parenting: Healing Residential School LossesDepartmental Approval Required,RDG,,TBA,3,0,Debbie A  Pushor (P),23-Jul13-Aug,NA NO_ROOM,Audit Not AllowedOn Campus Student FeesFee - Graduate Studies
 ,61081,ECUR,898,13,SK,3.0,Canadian Refugees with Interrupted EducationsDepartmental Approval Required,RDG,,TBA,1,0,Linda A  Wason-Ellam (P),23-Jul13-Aug,NA NO_ROOM,Audit Not AllowedOn Campus Student FeesFee - Graduate Studies
 ,60789,DRAM,110,01,SK,3.0,Technical Theatre I Scenic Construction ,LEC,MTWRF,10:30 am- 12:50 pm,20,12,Iain L  Rose (P),27-Jun18-Jul,JMITCH 131,Audit Allowed with PermissionFine Arts Program TypeOn Campus Student FeesTuition - Category 8
 ,60523,DRAM,210*,03,SK,3.0,Technical Theatre III Costume Construction ,LEC,MTWRF,10:00 am- 11:20 am,10,6,Beverley E  Kobelsky (P),23-Jul13-Aug,JMITCH 88,Audit Allowed with PermissionFine Arts Program TypeOn Campus Student FeesTuition - Category 8
 ,61006,ECON,214*,62,SK,3.0,Intermediate Macroeconomics ,LEC,MTWRF,11:00 am- 01:20 pm,40,8,Anna V  Klimina (P),27-Jun18-Jul,STM 1001,Audit Allowed with PermissionOn Campus Student FeesSocial Sciences Program TypeSt. Thomas More College ClassTuition - Category 1
 ,60845,ECON,343*,01,SK,3.0,Industrial Organization ,LEC,MTWRF,08:30 am- 10:50 am,60,37,Jingang   Zhao (P),23-Jul13-Aug,ARTS 109,Audit Allowed with PermissionOn Campus Student FeesSocial Sciences Program TypeTuition - Category 1
 ,60901,EPSE,390*,86,SK,3.0,Exceptional Learners ,LEC,MTWR,10:00 am- 01:20 pm,40,14,Judy L  Jaunzems Fernuk (P),23-Jul13-Aug,EDUC 1251,ITEP ClassOn Campus Student FeesTuition - Category 2
 ,60873,EPSE,417*,W02,OFF,3.0,Introduction to Counselling Psychology ,WEB,,TBA,40,2,Stephanie L  Martin (P),27-Jun13-Aug,NA NO_ROOM,Audit Allowed with PermissionDistance Education UnitOff Campus Student FeesTuition - Category 2Class Is Offered On-Line Only
 ,61008,EPSE,417*,W04,OFF,3.0,Introduction to Counselling PsychologyDepartmental Approval Required,WEB,,TBA,40,5,Stephanie L  Martin (P),27-Jun13-Aug,NA NO_ROOM,Audit Allowed with PermissionDistance Education UnitOff Campus Student FeesTuition - Category 2Class Is Offered On-Line Only
 ,61045,EPSE,888,1,SK,3.0,Trends and IssuesDepartmental Approval Required,WEB,,TBA,22,1,Pei-Ying   Lin (P),27-Jun23-Jul,NA ,Off Campus Student FeesFee - Graduate Studies
 ,61102,ERES,810,01,OFF,3.0,Indigenous Research Epistemology and MethodsDepartmental Approval Required,LEC,MTWRFS,TBA,18,0,Alex M  Wilson (P),22-Jul27-Jul,TBA,Audit Allowed with PermissionOff Campus Student FeesFee - Graduate Studies
 ,60959,EADM,411,86,SK,3.0,Inquiry Project and Community Learning Field Experience ,LEC,MTWR,10:00 am- 01:20 pm,40,2,Orest P  Murawsky (P),27-Jun18-Jul,EDUC 1037,ITEP ClassOn Campus Student FeesTuition - Category 2
 ,60941,EADM,820,01,SK,3.0,Administrative Roles in School Systems ,SEM,MTWRF,09:00 am- 03:50 pm,22,0,Warren J  Noonan (P),08-Jul12-Jul,EDUC 1039,On Campus Student FeesFee - Graduate Studies
 ,60943,EADM,821,01,SK,3.0,Organizational Behaviour in Education ,SEM,MTWRF,09:00 am- 03:50 pm,22,10,Anne A  Sloboda (P),07-Aug13-Aug,EDUC 2002,On Campus Student FeesFee - Graduate Studies
 ,61001,EADM,826,03,SK,3.0,Human Resources Leadership in Education ,SEM,MTWRF,09:00 am- 03:50 pm,22,2,Keith D  Walker (P),05-Aug09-Aug,EDUC 2005,On Campus Student FeesFee - Graduate Studies
 ,61000,EADM,830,02,SK,3.0,Rural Education Schools Communities and Policy Contexts ,SEM,MTWRF,09:00 am- 03:50 pm,21,5,Bill A  Gulka (P),15-Jul19-Jul,EDUC 2002,On Campus Student FeesFee - Graduate Studies
 ,60827,EADM,894,01,SK,3.0,Laboratory in Educational AdministrationDepartmental Approval Required,SSI,TWRF,04:00 pm- 05:50 pm,40,18,Bill A  Gulka (P),02-Jul05-Jul,TBA,On Campus Student FeesFee - Graduate Studies
 ,60584,EADM,894,22,SK,3.0,Laboratory in Educational AdministrationDepartmental Approval Required,SSI,TWRF,04:00 pm- 05:50 pm,40,0,Warren J  Noonan (P),02-Jul05-Jul,EDUC 1004,On Campus Student FeesFee - Graduate Studies
 ,61040,EADM,895,01,SK,3.0,Parents and Education Theory Policy and Practice ,LEC,MTWRF,09:00 am- 03:50 pm,22,1,Bonnie L  Stelmach (P),02-Jul08-Jul,EDUC 1004,Audit Allowed with PermissionOn Campus Student FeesFee - Graduate Studies
 ,60272,EADM,990,02,SK,0.0,Seminar ,WEB,,TBA,40,22,Paul M  Newton (P),27-Jun13-Aug,TBA,No Academic CreditOff Campus Student FeesNo Tuition AssessedNo Exam - Exemption Authorized
 ,60580,EFDT,817,02,SK,3.0,Environmental and Sustainability EducationDepartmental Approval Required,SEM,MTWRFU,TBA,18,0,Marcia D  McKenzie (P),28-Jul02-Aug,TBA,Off Campus Student FeesFee - Graduate Studies
 ,61027,EFDT,842,01,SK,3.0,History of Indigenous Education in CanadaDepartmental Approval Required,LEC,MTWRF,10:00 am- 03:45 pm,22,0,Verna L  St. Denis (P),03-Jul12-Jul,EDUC 1251,On Campus Student FeesFee - Graduate Studies
 ,61028,EFDT,844,01,SK,3.0,Theory and Practice of Anti-Racist EducationDepartmental Approval Required,SEM,MTWRF,10:00 am- 03:45 pm,22,-7,Verna L  St. Denis (P),17-Jul26-Jul,EDUC 2005,On Campus Student FeesFee - Graduate Studies
 ,61094,EFDT,898,0,SK,3.0,Institutional Ethnography as a Research Method in EducationDepartmental Approval Required,RDG,,TBA,1,0,Alex M  Wilson (P),27-Jun13-Aug,TBA,On Campus Student FeesFee - Graduate Studies
 ,60891,EFDT,990,04,SK,0.0,Seminar ,SEM,F,05:00 pm- 08:00 pm,20,9,Sheelah R  McLean (P),12-Jul12-Jul,EDUC 2002,No Academic Credit
 , , , , , , , ,SEM,S,09:00 am- 05:00 pm, , ,Sheelah R  McLean (P),13-Jul13-Jul,EDUC 2002, 
 ,60766,ETAD,803,W03,SK,3.0,Multimedia Design for LearningDepartmental Approval Required,WEB,,TBA,22,-2,Jay R  Wilson (P),27-Jun13-Aug,NA NO_ROOM,Audit Not AllowedOff Campus Student FeesFee - Graduate Studies
 ,61044,ETAD,898,W04,SK,3.0,An Exploration of Learning AnalyticsDepartmental Approval Required,RDG,,TBA,2,0,Marguerite L  Koole (P),23-Jul13-Aug,NA NO_ROOM,Audit Not AllowedOff Campus Student FeesFee - Graduate Studies
 ,61060,ETAD,898,W05,SK,3.0,Indigenous Language Program Concepts, Processes and ImplementationDepartmental Approval Required,RDG,,TBA,1,0,Marguerite L  Koole (P),23-Jul13-Aug,NA NO_ROOM,Audit Not AllowedOff Campus Student FeesFee - Graduate Studies
 ,61032,ETAD,991,W02,SK,3.0,Scholarship in TeachingDepartmental Approval Required,WEB,,TBA,1,0,Marguerite L  Koole (P),27-Jun13-Aug,NA NO_ROOM,Audit Not AllowedOff Campus Student FeesFee - Graduate Studies
 ,61022,ENG,111,02,SK,3.0,Literature and Composition Reading Poetry ,LEC,MTWRF,10:00 am- 12:20 pm,35,4,Henriette M  Morelli (P),23-Jul13-Aug,ARTS 212,Humanities Program TypeOn Campus Student FeesTuition - Category 1
 ,61023,ENG,113,02,SK,3.0,Literature and Composition Reading Narrative ,LEC,MTWRF,09:30 am- 11:50 am,35,3,Rhonda L  Anderson (P),27-Jun18-Jul,ARTS 208,Humanities Program TypeOn Campus Student FeesTuition - Category 1
 ,60912,ENG,114,02,SK,3.0,Literature and Composition Reading Culture ,LEC,MTWRF,01:30 pm- 03:50 pm,35,3,Rhonda L  Anderson (P),23-Jul13-Aug,ARTS 213,Humanities Program TypeOn Campus Student FeesTuition - Category 1
 ,60727,ENG,114,W02,OFF,3.0,Literature and Composition Reading Culture ,WEB,,TBA,55,20,Rita S  Matlock (P),27-Jun13-Aug,TBA,Distance Education UnitHumanities Program TypeOff Campus Student FeesTuition - Category 1Class Is Offered On-Line Only
 ,60928,ENG,225*,62,SK,3.0,Shakespeare Tragedy and Romance ,LEC,MTWRF,01:30 pm- 03:50 pm,30,8,Robert R  Imes (P),27-Jun18-Jul,STM 260,Audit Allowed with PermissionHumanities Program TypeOn Campus Student FeesSt. Thomas More College ClassTuition - Category 1
 ,60949,ENG,246*,02,SK,3.0,Short Fiction ,LEC,MTWRF,10:30 am- 12:50 pm,35,9,Jon A  deTombe (P),23-Jul13-Aug,ARTS 213,Audit Allowed with PermissionHumanities Program TypeOn Campus Student FeesTuition - Category 1
 ,60927,ENG,277*,W02,OFF,3.0,Literary Uses of Mythology ,WEB,,TBA,40,11,Jesse D  Stothers (P),27-Jun13-Aug,TBA,Distance Education UnitHumanities Program TypeOff Campus Student FeesTuition - Category 1Class Is Offered On-Line Only
 ,60999,ENG,359*,W02,OFF,3.0,Western Canadian Literature ,WEB,,TBA,40,12,Barbara   Langhorst (P),27-Jun13-Aug,NA NO_ROOM,Distance Education UnitHumanities Program TypeOff Campus Student FeesTuition - Category 1Class Is Offered On-Line Only
 ,61079,ENVS,898,27,OFF,7.5,Special Topics ,FST,,TBA,10,2,Irena F  Creed (P),27-Jun18-Aug,TBA,Audit Allowed with PermissionNo Academic CreditOff Campus Student FeesNo Tuition Assessed
 ,61084,GEOL,898,06,SK,3.0,Adv GeochemistryDepartmental Approval Required,RDG,MTWRF,TBA,1,0,Chris E  Holmden (P),27-Jun18-Jul,TBA,Fee - Graduate Studies
 ,60785,XGPC,000,01,SK,6.0,Graduate Pathways Placeholder ,XGN,,TBA,10,10,TBA,27-Jun13-Aug,TBA,No Academic CreditOn Campus Student FeesTuition - Graduate Pathways
 ,60897,INDG,107,05,SK,3.0,Introduction to Canadian Indigenous Studies ,MM,MTWRFSU,01:00 pm- 04:20 pm,30,8,Mylan M  Tootoosis (P),24-Jun13-Aug,GEOL 165,On Campus Student FeesSocial Sciences Program TypeTuition - Category 1
 ,60738,INDG,107,W02,OFF,3.0,Introduction to Canadian Indigenous Studies ,WEB,,TBA,100,24,Liz I  Mooney (P),27-Jun13-Aug,TBA,Distance Education UnitOff Campus Student FeesSocial Sciences Program TypeTuition - Category 1Class Is Offered On-Line Only
 ,61011,INDG,498,01,OFF,3.0,Remembering Resistance AustraliaDepartmental Approval Required,SEM,MTWRFSU,TBA,5,0,Winona L  Wheeler (P),01-Jul15-Jul,TBA,Off Campus Student FeesSocial Sciences Program TypeTuition - Category 1
 ,60745,INTS,100,W02,OFF,3.0,Strategies for Academic Success ,WEB,,TBA,50,38,Liv C  Marken (P), Veronica L  Stewart ,27-Jun13-Aug,TBA,Arts and Sci No Program TypeDistance Education UnitOff Campus Student FeesTuition - Category 1Class Is Offered On-Line Only
 ,61135,JSGS,898,01,SK,3.0,Selected Topics in Public PolicyDepartmental Approval Required,LEC,MTWRF,09:00 am- 04:50 pm,9,9,Haizhen   Mou (P),12-Aug23-Aug,DIEF 137,Audit Not AllowedOn Campus Student FeesFee - Graduate Studies
 ,61067,KIN,146,E68,KA,3.0,Physical Activity and School Aged Children and Youth ,LEC,MTWRF,01:00 pm- 03:50 pm,25,13,Tenille J  Flick (P),23-Jul13-Aug,NA ,Distance Education UnitOff Campus Student FeesNo Tuition Assessed
 ,61134,KIN,445,01,SK,3.0,Advanced Readings and Special Studies in KinesiologyDepartmental Approval Required,RDG,,TBA,2,0,TBA,23-Jul13-Aug,TBA,On Campus Student FeesTuition - Category 12
 ,60939,LING,110,W02,OFF,3.0,Introduction to Grammar ,WEB,,TBA,80,31,Jeffrey   Klassen (P),27-Jun18-Jul,NA NO_ROOM,Distance Education UnitHumanities Program TypeOff Campus Student FeesTuition - Category 1Class Is Offered On-Line Only
 ,61003,LING,111,W02,OFF,3.0,Structure of Language ,WEB,,TBA,70,16,Eleonora   Usenkova (P),27-Jun18-Jul,NA NO_ROOM,Distance Education UnitOff Campus Student FeesSocial Sciences Program TypeTuition - Category 1Class Is Offered On-Line Only
 ,60407,XMBA,000,01,SK,0.0,MBA Part time Enrolment ,XNA,,TBA,50,42,TBA,27-Jun13-Aug,TBA,No Academic CreditOff Campus Student FeesNo Tuition Assessed
 ,61005,XMED,003,01,SK,1.0,Clinical ReorientationDepartmental Approval Required,XNA,,TBA,5,0,TBA,27-Jun13-Aug,NA NO_ROOM,No Academic CreditOn Campus Student FeesExclude from T2202A ProcessingNo Tuition Assessed
 ,60406,MBA,828,01,SK,3.0,Tactical StrategyDepartmental Approval Required,LEC,MWR,05:00 pm- 08:50 pm,48,15,Vincent A  Bruni-Bossio (P),15-Jul01-Aug,ESB 243,Uses Blackboard Web ToolsOn Campus Student FeesTuition - MBA General
 , , , , , , , ,LEC,S,09:00 am- 04:20 pm, , ,Vincent A  Bruni-Bossio (P),27-Jul27-Jul,ESB 243, 
 ,60776,MBA,830,01,SK,3.0,Operations Management ,LEC,MWR,03:00 pm- 06:50 pm,48,5,Keith A  Willoughby (P),17-Jun04-Jul,ESB 243,Audit Allowed with PermissionUses Blackboard Web ToolsOn Campus Student FeesTuition - MBA General
 , , , , , , , ,LEC,S,09:00 am- 04:20 pm, , ,Keith A  Willoughby (P),29-Jun29-Jun,ESB 243, 
 ,60527,MBA,889,01,SK,3.0,Integrative ModulesDepartmental Approval Required,LEC,TRF,03:00 pm- 06:50 pm,48,15,Vernon G  Bachiu (P),06-Aug09-Aug,ESB 243,Uses Blackboard Web ToolsOn Campus Student FeesNo Tuition Assessed
 ,60963,MPAC,823,02,SK,3.0,Financial Reporting II ,LEC,,TBA,45,8,Michael K  Hernik (P),24-Jun26-Jul,NA NO_ROOM,Uses Blackboard Web ToolsOn Campus Student FeesFee - Graduate Studies
 ,60964,MPAC,823,04,SK,3.0,Financial Reporting II ,LEC,,TBA,45,6,Michael K  Hernik (P),24-Jun26-Jul,NA NO_ROOM,Uses Blackboard Web ToolsOn Campus Student FeesFee - Graduate Studies
